loan_amnt,grade,annual_inc,issue_d,loan_status,dti,earliest_cr_line
18000.0,A,75000.0,Dec-2015,Fully Paid,25.65,Mar-2001
3600.0,B,85000.0,Dec-2015,Fully Paid,17.44,Apr-1994
7200.0,D,20000.0,Dec-2015,Charged Off,13.21,Apr-2003
15000.0,C,77213.0,Dec-2015,Fully Paid,18.17,Dec-2001
5000.0,B,72000.0,Dec-2015,Fully Paid,6.52,Jan-2002
11550.0,D,38000.0,Dec-2015,Charged Off,21.07,Jan-2011
33600.0,B,104000.0,Dec-2015,Fully Paid,14.01,Nov-2000
17925.0,D,39000.0,Dec-2015,Current,27.78,Sep-2002
17475.0,C,39750.0,Dec-2015,Charged Off,23.58,May-2002
9000.0,B,47000.0,Dec-2015,Fully Paid,8.43,Nov-2000
12000.0,B,65000.0,Dec-2015,Fully Paid,23.84,Nov-2003
4000.0,B,44500.0,Dec-2015,Fully Paid,15.83,Sep-2003
10500.0,D,70100.0,Dec-2015,Fully Paid,8.51,Aug-2008
14000.0,B,100000.0,Dec-2015,Fully Paid,15.97,Dec-1997
6000.0,A,105000.0,Dec-2015,Fully Paid,14.45,May-2006
16000.0,C,90000.0,Dec-2015,Current,6.39,Jan-1996
15000.0,B,92000.0,Dec-2015,Fully Paid,13.89,Nov-2001
12000.0,B,39400.0,Dec-2015,Fully Paid,26.32,Sep-2006
10000.0,B,33000.0,Dec-2015,Fully Paid,21.75,Aug-2009
4200.0,C,32000.0,Dec-2015,Fully Paid,31.02,Nov-2009
35000.0,E,120000.0,Dec-2015,Fully Paid,35.69,Oct-1994
5475.0,E,108000.0,Dec-2015,Charged Off,33.47,Dec-1999
16000.0,A,60000.0,Dec-2015,Current,28.58,Sep-2008
6000.0,C,38700.0,Dec-2015,Fully Paid,23.26,Nov-1994
24000.0,B,75000.0,Dec-2015,Fully Paid,10.11,May-1985
10000.0,C,60000.0,Dec-2015,Fully Paid,3.3,Sep-2002
6900.0,E,80000.0,Dec-2015,Fully Paid,9.57,Jun-2005
22400.0,B,48000.0,Dec-2015,Current,28.48,Oct-2004
15975.0,D,58800.0,Dec-2015,Fully Paid,20.45,Jun-1999
21600.0,C,54000.0,Dec-2015,Fully Paid,17.64,Jun-2001
24000.0,C,82193.0,Dec-2015,Current,29.92,Aug-1999
14400.0,E,73320.0,Dec-2015,Charged Off,17.02,Nov-2006
8000.0,C,42000.0,Dec-2015,Fully Paid,23.26,May-2006
7000.0,C,83000.0,Dec-2015,Fully Paid,21.96,Nov-2002
20000.0,B,55000.0,Dec-2015,Fully Paid,36.94,Nov-2003
25825.0,F,68000.0,Dec-2015,Charged Off,31.68,Jan-2002
24575.0,F,92000.0,Dec-2015,Fully Paid,24.16,Nov-1996
3200.0,B,30407.0,Dec-2015,Fully Paid,20.61,Feb-2000
22875.0,D,137000.0,Dec-2015,Fully Paid,32.3,Jan-1957
16000.0,C,80000.0,Dec-2015,Current,19.59,Jun-2005
35000.0,C,125000.0,Dec-2015,Fully Paid,24.19,Jun-2006
2400.0,D,52000.0,Dec-2015,Fully Paid,28.38,Jul-2001
25000.0,A,132000.0,Dec-2015,Fully Paid,13.83,Aug-1974
8800.0,C,55000.0,Dec-2015,Fully Paid,35.52,Feb-2010
2500.0,B,16488.0,Dec-2015,Fully Paid,38.06,Nov-2005
8000.0,A,50000.0,Dec-2015,Fully Paid,14.86,Nov-2002
20000.0,C,78000.0,Dec-2015,Charged Off,27.1,Dec-1999
35000.0,C,110000.0,Dec-2015,Charged Off,13.39,Dec-1983
15000.0,A,45000.0,Dec-2015,Fully Paid,10.67,Jan-1993
16000.0,D,70000.0,Dec-2015,Charged Off,8.78,Mar-2004
10800.0,C,40000.0,Dec-2015,Fully Paid,26.13,Oct-1999
7500.0,D,15000.0,Dec-2015,Fully Paid,37.2,Aug-1998
16000.0,B,63000.0,Dec-2015,Charged Off,35.19,Dec-2006
9000.0,A,49000.0,Dec-2015,Fully Paid,21.63,Nov-1991
9500.0,D,28000.0,Dec-2015,Fully Paid,27.95,Apr-2006
10000.0,A,25000.0,Dec-2015,Charged Off,29.91,Oct-2008
6000.0,A,49000.0,Dec-2015,Fully Paid,17.92,Nov-2004
15600.0,C,52000.0,Dec-2015,Fully Paid,15.37,Feb-1995
35000.0,B,90000.0,Dec-2015,Fully Paid,13.36,Oct-1991
5000.0,B,78000.0,Dec-2015,Fully Paid,21.21,Jun-1995
20400.0,D,75000.0,Dec-2015,Fully Paid,38.65,Sep-1983
8000.0,D,33130.0,Dec-2015,Charged Off,11.52,May-1994
16000.0,B,87500.0,Dec-2015,Fully Paid,13.74,Jan-2008
18000.0,A,80000.0,Dec-2015,Charged Off,15.56,Nov-2002
35000.0,B,105000.0,Dec-2015,Fully Paid,25.07,Jun-1995
13150.0,A,40000.0,Dec-2015,Fully Paid,20.25,May-2001
5600.0,B,48000.0,Dec-2015,Fully Paid,19.85,Jul-1995
23000.0,B,90247.0,Dec-2015,Fully Paid,17.09,May-2000
12600.0,C,175000.0,Dec-2015,Fully Paid,11.75,Aug-1989
11000.0,D,55000.0,Dec-2015,Fully Paid,16.85,Oct-2000
4000.0,C,41501.0,Dec-2015,Fully Paid,12.9,Nov-2005
20000.0,C,75000.0,Dec-2015,Current,20.67,Feb-2004
20000.0,B,60000.0,Dec-2015,Fully Paid,22.62,Dec-2000
10000.0,B,59307.0,Dec-2015,Fully Paid,32.7,Oct-1996
18850.0,E,55000.0,Dec-2015,Charged Off,15.56,Jun-1997
21000.0,C,82000.0,Dec-2015,Fully Paid,15.07,Sep-1989
10500.0,B,60000.0,Dec-2015,Fully Paid,15.39,May-1998
4575.0,D,56000.0,Dec-2015,Charged Off,10.03,May-2001
5000.0,B,17000.0,Dec-2015,Fully Paid,27.9,Aug-2011
8000.0,A,45000.0,Dec-2015,Fully Paid,15.15,Sep-2002
5000.0,C,30000.0,Dec-2015,Charged Off,9.16,Apr-2005
9075.0,A,40000.0,Dec-2015,Fully Paid,8.39,Sep-1984
24000.0,C,75181.21,Dec-2015,Current,31.57,Feb-2000
12500.0,A,52000.0,Dec-2015,Fully Paid,6.83,Apr-2004
19600.0,D,80000.0,Dec-2015,Charged Off,18.99,Oct-2003
35000.0,C,90000.0,Dec-2015,Fully Paid,10.97,May-2012
28000.0,B,75000.0,Dec-2015,Fully Paid,24.83,Jan-2004
14000.0,D,45500.0,Dec-2015,Charged Off,19.24,Jun-1981
16000.0,B,99906.0,Dec-2015,Fully Paid,6.97,Jul-1993
14000.0,A,120000.0,Dec-2015,Fully Paid,6.73,Nov-1999
24000.0,B,72000.0,Dec-2015,Fully Paid,22.8,Aug-1997
35000.0,C,75000.0,Dec-2015,Fully Paid,18.19,Sep-2002
14550.0,D,70000.0,Dec-2015,Current,34.44,Sep-1977
8000.0,B,21610.0,Dec-2015,Fully Paid,31.06,Dec-2009
32400.0,B,106284.0,Dec-2015,Current,24.11,Oct-1989
3600.0,C,25000.0,Dec-2015,Fully Paid,26.45,Jun-2007
10500.0,C,110000.0,Dec-2015,Fully Paid,30.73,Jul-1998
3000.0,B,105000.0,Dec-2015,Fully Paid,12.09,Jul-1994
16000.0,C,43000.0,Dec-2015,Fully Paid,17.11,Sep-2010
8000.0,A,57000.0,Dec-2015,Fully Paid,25.01,Mar-2000
19500.0,A,85000.0,Dec-2015,Fully Paid,13.74,Aug-2001
2000.0,B,140000.0,Dec-2015,Fully Paid,6.78,Nov-1985
16000.0,A,96000.0,Dec-2015,Fully Paid,14.45,Sep-1990
3500.0,B,122400.0,Dec-2015,Fully Paid,17.97,Mar-1997
14000.0,B,94000.0,Dec-2015,Current,32.3,Mar-1993
24000.0,B,95000.0,Dec-2015,Fully Paid,26.89,Oct-2008
6000.0,A,120000.0,Dec-2015,Fully Paid,3.98,Sep-2000
24000.0,A,100000.0,Dec-2015,Fully Paid,26.83,May-1993
14875.0,D,37231.0,Dec-2015,Charged Off,36.3,Jun-2000
10000.0,C,45000.0,Dec-2015,Fully Paid,37.55,Jun-1986
15000.0,A,93000.0,Dec-2015,Fully Paid,14.86,Oct-1993
10000.0,A,68000.0,Dec-2015,Fully Paid,14.61,Oct-1987
18000.0,B,97000.0,Dec-2015,Current,22.22,Nov-1998
24000.0,E,97000.0,Dec-2015,Fully Paid,7.23,Aug-1997
23525.0,D,70000.0,Dec-2015,Fully Paid,13.33,May-1998
12000.0,B,68000.0,Dec-2015,Current,14.53,May-1999
11000.0,B,297000.0,Dec-2015,Fully Paid,12.69,Apr-1992
24000.0,B,210000.0,Dec-2015,Fully Paid,20.16,Aug-2002
15000.0,D,42900.0,Dec-2015,Current,36.98,Nov-2000
16000.0,B,140000.0,Dec-2015,Fully Paid,14.68,Feb-2000
15000.0,A,90000.0,Dec-2015,Charged Off,17.07,Aug-2001
5000.0,C,60000.0,Dec-2015,Charged Off,19.56,Mar-2009
19100.0,B,115000.0,Dec-2015,Current,14.35,Mar-1999
15000.0,B,85000.0,Dec-2015,Fully Paid,10.14,Sep-2009
30000.0,D,85000.0,Dec-2015,Current,35.93,Oct-2003
15000.0,B,60000.0,Dec-2015,Fully Paid,25.56,Dec-1977
3500.0,C,105000.0,Dec-2015,Fully Paid,17.65,Jun-1986
20000.0,B,130000.0,Dec-2015,Fully Paid,12.77,Oct-2011
10000.0,C,30160.0,Dec-2015,Current,29.45,Oct-2009
35000.0,D,132500.0,Dec-2015,Fully Paid,14.48,Jul-2003
16000.0,C,90000.0,Dec-2015,Late (31-120 days),16.65,May-2002
2000.0,C,180000.0,Dec-2015,Fully Paid,12.66,May-1984
12000.0,B,39500.0,Dec-2015,Fully Paid,25.43,Aug-2003
8000.0,A,80000.0,Dec-2015,Fully Paid,18.92,Apr-2004
10000.0,B,92000.0,Dec-2015,Charged Off,10.55,Aug-1996
25000.0,A,76500.0,Dec-2015,Current,15.65,Jan-2002
35000.0,C,100000.0,Dec-2015,Fully Paid,19.43,Jan-1986
25600.0,A,150000.0,Dec-2015,Fully Paid,10.88,Feb-2005
4325.0,C,90000.0,Dec-2015,Fully Paid,16.96,Aug-1997
6000.0,A,48000.0,Dec-2015,Fully Paid,33.78,Apr-1983
18200.0,D,65000.0,Dec-2015,Charged Off,29.28,Feb-2004
10000.0,A,54000.0,Dec-2015,Fully Paid,19.38,Sep-2000
30000.0,C,81000.0,Dec-2015,Fully Paid,12.03,May-1989
13200.0,A,150000.0,Dec-2015,Fully Paid,15.45,Jul-1996
10000.0,A,220000.0,Dec-2015,Fully Paid,4.76,Nov-2003
3000.0,B,75000.0,Dec-2015,Fully Paid,22.82,Apr-2004
20000.0,B,96000.0,Dec-2015,Fully Paid,19.04,Mar-1996
13875.0,C,32500.0,Dec-2015,Fully Paid,23.53,Mar-2001
18000.0,A,76000.0,Dec-2015,Fully Paid,14.4,Nov-1994
15225.0,B,40000.0,Dec-2015,Charged Off,21.21,May-1999
16000.0,B,65000.0,Dec-2015,Charged Off,21.16,Feb-2001
21000.0,B,125000.0,Dec-2015,Charged Off,6.2,May-2003
13000.0,D,40000.0,Dec-2015,Charged Off,16.74,Sep-2000
20000.0,A,120000.0,Dec-2015,Fully Paid,4.99,Sep-1987
31075.0,A,70000.0,Dec-2015,Fully Paid,17.18,Apr-1991
18000.0,A,120000.0,Dec-2015,Fully Paid,14.88,Nov-1983
5000.0,B,74967.0,Dec-2015,Fully Paid,33.39,Oct-1998
4675.0,D,13000.0,Dec-2015,Fully Paid,34.07,Nov-1996
6000.0,B,85140.0,Dec-2015,Fully Paid,14.42,Mar-2012
12000.0,C,90000.0,Dec-2015,Fully Paid,12.62,Apr-2002
13000.0,C,115000.0,Dec-2015,Fully Paid,9.9,Aug-2001
1800.0,B,50000.0,Dec-2015,Fully Paid,20.38,Jan-2002
4475.0,D,114000.0,Dec-2015,Fully Paid,8.36,Jul-2000
14400.0,A,70000.0,Dec-2015,Fully Paid,16.32,Jul-2003
5875.0,A,70000.0,Dec-2015,Fully Paid,9.53,Nov-2002
20000.0,D,180000.0,Dec-2015,Fully Paid,25.1,Apr-1989
10000.0,A,115000.0,Dec-2015,Fully Paid,23.26,Jun-2002
34100.0,C,92892.0,Dec-2015,Fully Paid,29.14,Nov-1994
24000.0,B,56457.0,Dec-2015,Fully Paid,12.37,Dec-2004
30000.0,D,300000.0,Dec-2015,Current,8.62,Aug-2000
5200.0,B,160000.0,Dec-2015,Fully Paid,8.0,Nov-1987
16800.0,C,50000.0,Dec-2015,Fully Paid,5.76,Dec-2005
10000.0,C,40000.0,Dec-2015,Fully Paid,10.95,Feb-2008
22000.0,D,55000.0,Dec-2015,Fully Paid,22.34,Jul-2000
28000.0,A,144000.0,Dec-2015,Fully Paid,29.88,Oct-1979
7200.0,A,60000.0,Dec-2015,Fully Paid,20.68,Sep-2002
18000.0,C,41000.0,Dec-2015,Fully Paid,38.35,May-2009
8400.0,A,30000.0,Dec-2015,Fully Paid,29.2,Aug-2007
5000.0,C,67000.0,Dec-2015,Fully Paid,31.08,Oct-1999
5000.0,B,55000.0,Dec-2015,Charged Off,10.93,Jul-2003
2400.0,B,60000.0,Dec-2015,Charged Off,24.14,Dec-2007
15000.0,A,60000.0,Dec-2015,Fully Paid,21.48,Apr-1988
6075.0,B,64400.0,Dec-2015,Fully Paid,27.37,Dec-1999
20000.0,B,55000.0,Dec-2015,Fully Paid,22.58,Jul-2007
6025.0,C,110000.0,Dec-2015,Fully Paid,21.32,Oct-1999
8400.0,B,70000.0,Dec-2015,Fully Paid,12.96,Jan-1997
15000.0,C,90000.0,Dec-2015,Fully Paid,21.17,Aug-1999
19200.0,B,72000.0,Dec-2015,Current,21.22,Mar-1994
12000.0,D,143000.0,Dec-2015,Fully Paid,3.61,May-2003
28800.0,C,60000.0,Dec-2015,Fully Paid,6.68,Jul-1996
5000.0,A,60000.0,Dec-2015,Fully Paid,19.22,Nov-2001
5000.0,C,60000.0,Dec-2015,Fully Paid,30.24,Jan-2008
31500.0,C,120000.0,Dec-2015,Fully Paid,10.55,Jun-1997
24000.0,D,165000.0,Dec-2015,Fully Paid,13.05,Mar-2000
20000.0,C,110000.0,Dec-2015,Charged Off,23.89,Feb-1987
24000.0,B,110000.0,Dec-2015,Fully Paid,20.82,Jun-1983
21850.0,D,65000.0,Dec-2015,Fully Paid,12.74,Aug-1984
9500.0,A,126500.0,Dec-2015,Fully Paid,8.67,May-1996
20000.0,B,98000.0,Dec-2015,Fully Paid,16.7,Sep-1995
20000.0,C,59000.0,Dec-2015,Current,26.54,Aug-1999
20000.0,D,135000.0,Dec-2015,Charged Off,26.92,Jan-1996
20000.0,C,65000.0,Dec-2015,Fully Paid,16.93,Oct-1995
25200.0,C,78000.0,Dec-2015,Current,20.46,Jun-1995
12000.0,A,50000.0,Dec-2015,Fully Paid,20.12,Jan-2001
10000.0,C,65000.0,Dec-2015,Fully Paid,14.73,Dec-2003
12000.0,B,36500.0,Dec-2015,Fully Paid,18.91,Apr-1980
12000.0,A,75000.0,Dec-2015,Fully Paid,6.4,Aug-2003
6425.0,D,41000.0,Dec-2015,Fully Paid,2.87,Mar-2002
12700.0,D,32760.0,Dec-2015,Fully Paid,34.32,Sep-2004
35000.0,C,121000.0,Dec-2015,Fully Paid,9.23,Jul-1984
16000.0,C,110000.0,Dec-2015,Current,15.82,Sep-1997
15000.0,C,48000.0,Dec-2015,Charged Off,31.29,Apr-2011
20550.0,D,60000.0,Dec-2015,Fully Paid,26.38,May-2002
25000.0,A,127000.0,Dec-2015,Fully Paid,25.48,Nov-1984
14000.0,E,115000.0,Dec-2015,Fully Paid,13.36,Jan-2007
16925.0,E,47000.0,Dec-2015,Charged Off,22.09,Feb-1998
4700.0,C,22000.0,Dec-2015,Fully Paid,17.64,Jun-2007
5000.0,B,25000.0,Dec-2015,Fully Paid,13.63,Jul-1987
12000.0,C,92500.0,Dec-2015,Fully Paid,17.66,Mar-2003
12000.0,B,55000.0,Dec-2015,Fully Paid,12.61,Sep-2006
15000.0,A,117000.0,Dec-2015,Fully Paid,4.66,Jun-1992
4900.0,C,123000.0,Dec-2015,Fully Paid,25.6,Jan-1988
18000.0,A,70000.0,Dec-2015,Fully Paid,16.82,Jan-2001
18000.0,C,48000.0,Dec-2015,Charged Off,19.76,Jun-1999
25000.0,D,120000.0,Dec-2015,Charged Off,21.33,Nov-2004
15000.0,C,50000.0,Dec-2015,Fully Paid,13.92,Aug-2004
3600.0,B,97000.0,Dec-2015,Fully Paid,18.93,Dec-2005
33000.0,B,92250.0,Dec-2015,Fully Paid,20.68,Oct-2007
14950.0,E,68000.0,Dec-2015,Fully Paid,31.36,Jul-2005
15000.0,C,154000.0,Dec-2015,Fully Paid,35.77,Feb-1995
7000.0,D,30100.0,Dec-2015,Fully Paid,25.68,Aug-1995
15000.0,D,35300.0,Dec-2015,Current,36.52,Jul-1984
35000.0,C,98000.0,Dec-2015,Fully Paid,18.93,Jul-1998
8000.0,B,58000.0,Dec-2015,Fully Paid,5.9,Dec-1977
20000.0,C,40000.0,Dec-2015,Charged Off,22.84,Oct-1999
14375.0,E,80000.0,Dec-2015,Fully Paid,37.32,Oct-2003
21000.0,B,85000.0,Dec-2015,Fully Paid,10.51,Dec-2003
3700.0,C,65000.0,Dec-2015,Fully Paid,20.81,Feb-1997
8400.0,B,85000.0,Dec-2015,Charged Off,26.77,Aug-2003
7200.0,B,22000.0,Dec-2015,Fully Paid,23.57,Aug-1999
16800.0,B,85400.0,Dec-2015,Fully Paid,17.27,Nov-1994
9000.0,A,150000.0,Dec-2015,Fully Paid,0.63,Feb-1987
6000.0,C,43700.0,Dec-2015,Fully Paid,31.87,Feb-2005
34000.0,B,76497.0,Dec-2015,Fully Paid,13.32,Sep-1995
20000.0,C,67000.0,Dec-2015,Current,6.52,Aug-1996
16000.0,C,91000.0,Dec-2015,Charged Off,11.78,Nov-2003
11200.0,B,70000.0,Dec-2015,Fully Paid,15.88,Dec-1996
21000.0,D,95000.0,Dec-2015,Current,34.84,Jun-2001
16000.0,C,65000.0,Dec-2015,Current,39.56,Sep-1998
6000.0,A,50000.0,Dec-2015,Fully Paid,19.42,Mar-1980
9100.0,A,84000.0,Dec-2015,Fully Paid,15.57,Sep-2006
10000.0,A,60000.0,Dec-2015,Fully Paid,29.15,Jun-1995
28000.0,B,135000.0,Dec-2015,Late (31-120 days),26.15,May-1996
30000.0,G,115000.0,Dec-2015,Charged Off,17.73,Oct-2001
8450.0,C,37380.0,Dec-2015,Fully Paid,15.09,Jan-2003
8775.0,F,75000.0,Dec-2015,Fully Paid,20.37,Sep-2006
6000.0,A,72000.0,Dec-2015,Fully Paid,17.08,Apr-1985
10000.0,A,75000.0,Dec-2015,Fully Paid,5.17,Oct-2003
10000.0,D,128000.0,Dec-2015,Charged Off,36.23,Dec-2002
7200.0,D,22000.0,Dec-2015,Fully Paid,38.63,May-2001
20000.0,C,75000.0,Dec-2015,Fully Paid,18.76,Apr-1992
20000.0,B,95750.0,Dec-2015,Charged Off,19.14,Dec-1997
5000.0,A,130000.0,Dec-2015,Fully Paid,10.44,Nov-1998
15000.0,B,35179.0,Dec-2015,Charged Off,23.47,Jul-2000
23950.0,D,160000.0,Dec-2015,Charged Off,18.41,Feb-1996
15000.0,B,160000.0,Dec-2015,Fully Paid,24.79,Aug-1998
2250.0,B,60000.0,Dec-2015,Fully Paid,16.88,Aug-2008
14000.0,C,40000.0,Dec-2015,Fully Paid,37.39,Sep-1991
14000.0,C,80000.0,Dec-2015,Charged Off,5.04,Dec-2004
18000.0,A,83000.0,Dec-2015,Fully Paid,7.93,Nov-1988
12000.0,A,72500.0,Dec-2015,Fully Paid,2.71,Jul-1996
5600.0,B,46000.0,Dec-2015,Fully Paid,13.18,Dec-2004
35000.0,D,83000.0,Dec-2015,Fully Paid,25.52,May-1982
8000.0,C,43500.0,Dec-2015,Charged Off,22.48,Mar-2003
2400.0,C,26000.0,Dec-2015,Fully Paid,16.39,Nov-2011
35000.0,D,98000.0,Dec-2015,Fully Paid,19.74,Nov-1984
35000.0,B,140000.0,Dec-2015,Current,16.46,Jan-1999
7000.0,C,55000.0,Dec-2015,Fully Paid,37.22,May-1988
8000.0,C,23200.0,Dec-2015,Fully Paid,33.78,Nov-2006
6125.0,D,70000.0,Dec-2015,Fully Paid,17.36,Sep-1993
10400.0,C,150000.0,Dec-2015,Charged Off,18.51,Mar-1991
30000.0,A,134000.0,Dec-2015,Fully Paid,17.1,Jun-1987
4000.0,C,30000.0,Dec-2015,Fully Paid,8.18,Jul-1994
10000.0,B,125000.0,Dec-2015,Fully Paid,19.92,Jun-1998
16000.0,A,50000.0,Dec-2015,Fully Paid,24.41,Aug-2004
24000.0,D,67000.0,Dec-2015,Charged Off,29.07,Jan-1991
19225.0,G,56600.0,Dec-2015,Charged Off,18.21,Apr-1990
